batch_id,premiere_mesure,derniere_mesure,nombre_mesures,nombre_localisations,temperature_min,temperature_max,temperature_moyenne,humidite_moyenne,heures_hors_limite_max,heures_refrigeration_max,heures_ultra_low_max,expiration_min,presence_discarded,statut_analytique,date_fin_observee,localisation_finale,etape_finale,stockage_final,temperature_finale_min,temperature_finale_max,temperature_finale_moyenne,expiration_heures_finale,heures_hors_limite_finales,issue_finale_observee,signal_temperature_superieure_8,signal_excursion_prolongee,signal_expiration,signal_temperature_finale_superieure_8,niveau_revue_qualite
batch007,2021-03-01 01:00:00,2021-03-07 10:00:00,306,5,-71,15,-10.42,89.22,7,114,0,721,True,Lot dirigé vers stockage de vaccins écartés,2021-03-07 10:00:00,Delhi Airport,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,12,15,13.5,721,7,Écart explicite observé,True,True,False,True,Priorité élevée - excursion thermique prolongée
batch029,2021-08-01 01:00:00,2021-08-07 10:00:00,306,5,-71,14,-10.41,89.32,7,114,0,721,True,Lot dirigé vers stockage de vaccins écartés,2021-08-07 10:00:00,Delhi Airport,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,12,14,13.0,721,7,Écart explicite observé,True,True,False,True,Priorité élevée - excursion thermique prolongée
batch013,2020-11-01 01:00:00,2020-11-07 10:00:00,305,5,-71,10,-10.37,89.24,7,114,0,721,True,Lot dirigé vers stockage de vaccins écartés,2020-11-07 10:00:00,Delhi Airport,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,9,10,9.5,721,7,Écart explicite observé,True,True,False,True,Priorité élevée - excursion thermique prolongée
batch016,2021-02-01 01:00:00,2021-02-07 14:00:00,306,5,-71,14,-10.59,89.37,6,114,1,719,True,Lot dirigé vers stockage de vaccins écartés,2021-02-07 14:00:00,Delhi Airport,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,14,14,14.0,719,6,Écart explicite observé,True,True,False,True,Priorité élevée - excursion thermique prolongée
batch017,2021-03-01 01:00:00,2021-03-12 22:00:00,566,7,-71,14,-36.96,90.5,6,114,124,595,True,Lot dirigé vers stockage de vaccins écartés,2021-03-12 22:00:00,Chattisgarh,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,14,14,14.0,595,6,Écart explicite observé,True,True,False,True,Priorité élevée - excursion thermique prolongée
batch027,2021-06-01 01:00:00,2021-06-07 19:00:00,321,6,-71,14,-16.02,89.49,6,108,8,718,True,Lot dirigé vers stockage de vaccins écartés,2021-06-07 19:00:00,Delhi-Chattisgarh,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,11,14,12.5,718,6,Écart explicite observé,True,True,False,True,Priorité élevée - excursion thermique prolongée
batch004,2020-12-01 01:00:00,2020-12-07 14:00:00,312,5,-71,13,-11.8,89.56,6,114,1,719,True,Lot dirigé vers stockage de vaccins écartés,2020-12-07 14:00:00,Delhi Airport,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,10,13,11.5,719,6,Écart explicite observé,True,True,False,True,Priorité élevée - excursion thermique prolongée
batch005,2021-01-01 01:00:00,2021-01-07 19:00:00,321,6,-71,13,-16.61,89.5,6,108,7,718,True,Lot dirigé vers stockage de vaccins écartés,2021-01-07 19:00:00,Delhi-Chattisgarh,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,12,13,12.5,718,6,Écart explicite observé,True,True,False,True,Priorité élevée - excursion thermique prolongée
batch025,2021-07-01 01:00:00,2021-07-12 22:00:00,562,7,-71,13,-37.41,90.43,6,114,124,595,True,Lot dirigé vers stockage de vaccins écartés,2021-07-12 22:00:00,Chattisgarh,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,12,13,12.5,595,6,Écart explicite observé,True,True,False,True,Priorité élevée - excursion thermique prolongée
batch015,2021-03-01 01:00:00,2021-03-07 19:00:00,320,6,-71,12,-16.36,89.68,6,108,7,718,True,Lot dirigé vers stockage de vaccins écartés,2021-03-07 19:00:00,Delhi-Chattisgarh,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,11,12,11.5,718,6,Écart explicite observé,True,True,False,True,Priorité élevée - excursion thermique prolongée
