batch_id,date_fin_observee,localisation_finale,etape_finale,stockage_final,nombre_lectures,temperature_finale_min,temperature_finale_max,temperature_finale_moyenne,humidite_moyenne,expiration_heures_finale,ultra_low_temperature_freezer_hours_max,heures_hors_limite_finales,refrigeration_temperature_hours_max,issue_finale_observee
batch001,2020-10-07 14:00:00,Jharkand,dest_discarded_vaccine_storage_unit,vaccine_storage_unit,2,13,14,13.5,79.5,-1,720,1,119,Écart explicite observé
batch002,2020-10-13 07:00:00,Pune,immunization_site,vaccination_room,2,2,4,3.0,67.5,586,240,1,13,Livré au site de vaccination
batch003,2020-11-12 22:00:00,Chattisgarh,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,2,10,10,10.0,76.5,595,124,6,114,Écart explicite observé
batch004,2020-12-07 14:00:00,Delhi Airport,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,2,10,13,11.5,83.0,719,1,6,114,Écart explicite observé
batch005,2021-01-07 19:00:00,Delhi-Chattisgarh,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,2,12,13,12.5,80.0,718,7,6,108,Écart explicite observé
batch006,2021-02-27 14:00:00,Jharkand,dest_vaccine_storage_unit,discarded_vaccine_storage_unit,2,13,15,14.0,81.5,239,480,6,114,Discordance à valider
batch007,2021-03-07 10:00:00,Delhi Airport,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,2,12,15,13.5,77.5,721,0,7,114,Écart explicite observé
batch008,2021-05-07 14:00:00,Jharkand,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,2,2,3,2.5,91.0,-1,720,1,120,Écart explicite observé
batch009,2021-05-18 07:00:00,Pune,immunization_site,vaccination_room,2,2,3,2.5,68.0,466,360,1,13,Livré au site de vaccination
batch010,2021-06-13 07:00:00,Pune,immunization_site,vaccination_room,2,2,3,2.5,69.5,586,240,1,13,Livré au site de vaccination
batch011,2020-09-18 07:00:00,Pune,immunization_site,vaccination_room,2,2,3,2.5,69.5,466,360,1,13,Livré au site de vaccination
batch012,2020-11-06 14:00:00,Jharkand,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,2,2,2,2.0,92.0,-1,720,1,120,Écart explicite observé
batch013,2020-11-07 10:00:00,Delhi Airport,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,2,9,10,9.5,78.5,721,0,7,114,Écart explicite observé
batch014,2020-12-27 14:00:00,Jharkand,dest_vaccine_storage_unit,discarded_vaccine_storage_unit,2,9,13,11.0,83.5,239,481,6,114,Discordance à valider
batch015,2021-03-07 19:00:00,Delhi-Chattisgarh,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,2,11,12,11.5,80.5,718,7,6,108,Écart explicite observé
batch016,2021-02-07 14:00:00,Delhi Airport,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,2,14,14,14.0,76.5,719,1,6,114,Écart explicite observé
batch017,2021-03-12 22:00:00,Chattisgarh,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,2,14,14,14.0,79.0,595,124,6,114,Écart explicite observé
batch018,2021-05-23 07:00:00,Pune,immunization_site,vaccination_room,2,3,4,3.5,66.0,346,480,1,13,Livré au site de vaccination
batch019,2021-01-06 14:00:00,Jharkand,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,2,2,3,2.5,92.0,-1,720,1,120,Écart explicite observé
batch020,2020-11-23 07:00:00,Pune,immunization_site,vaccination_room,2,4,4,4.0,66.5,346,480,1,13,Livré au site de vaccination
batch021,2021-01-28 07:00:00,Pune,immunization_site,vaccination_room,2,3,4,3.5,67.5,226,600,1,13,Livré au site de vaccination
batch022,2020-12-13 07:00:00,Pune,immunization_site,vaccination_room,2,2,4,3.0,67.0,586,240,1,13,Livré au site de vaccination
batch023,2021-02-28 07:00:00,Pune,immunization_site,vaccination_room,2,3,4,3.5,67.0,226,600,1,13,Livré au site de vaccination
batch024,2021-07-07 14:00:00,Jharkand,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,2,3,4,3.5,92.5,-1,720,1,120,Écart explicite observé
batch025,2021-07-12 22:00:00,Chattisgarh,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,2,12,13,12.5,76.0,595,124,6,114,Écart explicite observé
batch026,2021-08-07 14:00:00,Delhi Airport,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,2,9,13,11.0,78.0,719,1,5,114,Écart explicite observé
batch027,2021-06-07 19:00:00,Delhi-Chattisgarh,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,2,11,14,12.5,79.5,718,8,6,108,Écart explicite observé
batch028,2021-07-27 14:00:00,Jharkand,dest_vaccine_storage_unit,discarded_vaccine_storage_unit,2,13,13,13.0,80.0,239,480,6,114,Discordance à valider
batch029,2021-08-07 10:00:00,Delhi Airport,dest_discarded_vaccine_storage_unit,discarded_vaccine_storage_unit,2,12,14,13.0,77.0,721,0,7,114,Écart explicite observé
batch030,2021-08-28 07:00:00,Pune,immunization_site,vaccination_room,2,2,3,2.5,66.5,226,600,1,13,Livré au site de vaccination
