batch_id,issue_finale_observee,pre_temperature_max,pre_temperature_moyenne,pre_heures_hors_limite_max,pre_heures_ultra_low_max,pre_heures_refrigeration_max,pre_expiration_min,pre_humidite_moyenne,pre_nombre_localisations,pre_nombre_transitions_stockage,target
batch007,Écart explicite observé,8,-10.950980392156863,7,0,114,722,89.33006535947712,5,2,1
batch029,Écart explicite observé,8,-10.954248366013072,7,0,114,722,89.43464052287581,5,2,1
batch013,Écart explicite observé,8,-11.084967320261438,7,0,114,722,89.36601307189542,5,2,1
batch016,Écart explicite observé,8,-12.643312101910828,6,1,114,720,89.63375796178345,5,2,1
batch017,Écart explicite observé,8,-37.228070175438596,6,124,114,596,90.57192982456141,7,3,1
batch027,Écart explicite observé,8,-17.040123456790123,6,8,108,719,89.63888888888889,6,3,1
batch004,Écart explicite observé,8,-12.684713375796179,6,1,114,720,89.671974522293,5,2,1
batch005,Écart explicite observé,8,-17.145061728395063,6,7,108,719,89.59567901234568,6,3,1
batch025,Écart explicite observé,8,-37.34035087719298,6,124,114,596,90.47719298245615,7,3,1
batch015,Écart explicite observé,8,-17.030864197530864,6,7,108,719,89.78086419753086,6,3,1
batch003,Écart explicite observé,8,-37.31578947368421,6,124,114,596,90.32631578947368,7,3,1
batch026,Écart explicite observé,8,-12.745222929936306,5,1,114,720,89.58917197452229,5,2,1
batch001,Écart explicite observé,4,-58.0381984036488,1,720,119,0,92.48403648802737,7,3,1
batch008,Écart explicite observé,4,-58.03534777651083,1,720,119,0,92.4618015963512,7,3,1
batch012,Écart explicite observé,4,-57.99828962371722,1,720,119,0,92.49087799315849,7,3,1
batch019,Écart explicite observé,4,-58.04161915621437,1,720,119,0,92.50570125427593,7,3,1
batch024,Écart explicite observé,4,-58.01710376282782,1,720,119,0,92.48745724059293,7,3,1
batch002,Livré au site de vaccination,4,-65.98096885813149,1,240,7,592,92.57612456747405,7,4,0
batch009,Livré au site de vaccination,4,-66.34596577017115,1,360,7,472,92.51100244498778,7,4,0
batch010,Livré au site de vaccination,4,-65.94636678200692,1,240,7,592,92.57785467128028,7,4,0
batch011,Livré au site de vaccination,4,-66.50488997555013,1,360,7,472,92.66136919315403,7,4,0
batch018,Livré au site de vaccination,4,-66.60207939508507,1,480,7,352,92.5453686200378,7,4,0
batch020,Livré au site de vaccination,4,-66.55954631379961,1,480,7,352,92.55954631379961,7,4,0
batch021,Livré au site de vaccination,4,-66.79583975346688,1,600,7,232,92.57087827426811,7,4,0
batch022,Livré au site de vaccination,4,-65.92387543252595,1,240,7,592,92.6038062283737,7,4,0
batch023,Livré au site de vaccination,4,-66.82126348228043,1,600,7,232,92.51771956856703,7,4,0
batch030,Livré au site de vaccination,4,-66.8020030816641,1,600,7,232,92.52850539291217,7,4,0
