batch_id,datetime,location,current_hop_clean,external_storage_clean,nombre_lectures,temperature_min,temperature_max,temperature_moyenne,humidite_moyenne,item_expiry_hours_min,ultra_low_temperature_freezer_hours_max,out_of_bound_temperature_hours_max,refrigeration_temperature_hours_max,temperature_range,temperature_change_from_previous_hour,temperature_max_rolling_mean_3h,temperature_max_rolling_std_3h,temperature_deviation_from_rolling_mean,context_group,storage_median,deviation_from_storage_median,absolute_deviation_from_storage_median,current_hop_clean_air_transit,current_hop_clean_dest_air_cargo,current_hop_clean_source_air_cargo,current_hop_clean_source_hub,current_hop_clean_source_reefer_truck,external_storage_clean_ultra_low_temperature_freezer,external_storage_clean_vaccine_storage_unit,iso_forest_pred,anomaly_score,is_model_flagged
batch004,2020-12-02 14:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-63,-56,-59.5,94.0,839,1,1,0,7,10.0,-62.666666666666664,5.773502691896259,6.666666666666664,dest_air_cargo_vaccine_storage_unit,7.0,-63.0,63.0,False,True,False,False,False,False,True,-1,0.02026489116852881,True
batch004,2020-12-02 15:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-45,-41,-43.0,93.5,838,1,2,0,4,15.0,-54.333333333333336,12.583057392117917,13.333333333333336,dest_air_cargo_vaccine_storage_unit,7.0,-48.0,48.0,False,True,False,False,False,False,True,-1,0.032111269722342795,True
batch004,2020-12-02 16:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-40,-36,-38.0,93.0,837,1,3,0,4,5.0,-44.333333333333336,10.408329997330666,8.333333333333336,dest_air_cargo_vaccine_storage_unit,7.0,-43.0,43.0,False,True,False,False,False,False,True,-1,0.008670359075609757,True
batch004,2020-12-02 17:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-35,-29,-32.0,91.0,836,1,4,0,6,7.0,-35.333333333333336,6.027713773341716,6.333333333333336,dest_air_cargo_vaccine_storage_unit,7.0,-36.0,36.0,False,True,False,False,False,False,True,-1,0.023606460159819376,True
batch004,2020-12-02 18:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-22,-15,-18.5,91.0,835,1,5,0,7,14.0,-26.666666666666668,10.692676621563631,11.666666666666668,dest_air_cargo_vaccine_storage_unit,7.0,-22.0,22.0,False,True,False,False,False,False,True,-1,0.049373410606081136,True
batch004,2020-12-02 19:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-12,-1,-6.5,92.0,834,1,6,0,11,14.0,-15.0,14.000000000000004,14.0,dest_air_cargo_vaccine_storage_unit,7.0,-8.0,8.0,False,True,False,False,False,False,True,-1,0.051947768762622526,True
batch007,2021-03-02 09:00:00,Not Available,air_transit,ultra_low_temperature_freezer,2,-35,-34,-34.5,92.0,840,0,1,0,1,35.0,-56.333333333333336,19.39931270260195,22.333333333333336,air_transit_ultra_low_temperature_freezer,-69.0,35.0,35.0,True,False,False,False,False,True,False,-1,0.052628640171730856,True
batch007,2021-03-02 11:00:00,Not Available,air_transit,ultra_low_temperature_freezer,2,-40,-40,-40.0,91.5,840,0,3,0,0,18.0,-44.0,12.489995996796797,4.0,air_transit_ultra_low_temperature_freezer,-69.0,29.0,29.0,True,False,False,False,False,True,False,-1,0.037642891084629815,True
batch007,2021-03-02 12:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-37,-36,-36.5,93.0,839,0,4,0,1,4.0,-44.666666666666664,11.71893055416463,8.666666666666664,dest_air_cargo_vaccine_storage_unit,7.0,-43.0,43.0,False,True,False,False,False,False,True,-1,0.00037654631303241093,True
batch007,2021-03-02 14:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-24,-18,-21.0,93.5,837,0,6,0,6,12.0,-28.0,9.165151389911678,10.0,dest_air_cargo_vaccine_storage_unit,7.0,-25.0,25.0,False,True,False,False,False,False,True,-1,0.03119694222896019,True
batch007,2021-03-02 15:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-6,-4,-5.0,92.0,836,0,7,0,2,14.0,-17.333333333333332,13.012814197295421,13.333333333333332,dest_air_cargo_vaccine_storage_unit,7.0,-11.0,11.0,False,True,False,False,False,False,True,-1,0.02908908127208143,True
batch007,2021-03-02 16:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,2,3,2.5,91.5,835,0,7,1,1,7.0,-6.333333333333333,10.692676621563622,9.333333333333332,dest_air_cargo_vaccine_storage_unit,7.0,-4.0,4.0,False,True,False,False,False,False,True,-1,0.00734811313807604,True
batch013,2020-11-02 09:00:00,Not Available,air_transit,ultra_low_temperature_freezer,2,-35,-33,-34.0,92.0,840,0,1,0,2,36.0,-56.333333333333336,20.231987873991358,23.333333333333336,air_transit_ultra_low_temperature_freezer,-69.0,36.0,36.0,True,False,False,False,False,True,False,-1,0.05417882392426332,True
batch013,2020-11-02 10:00:00,Not Available,air_transit,ultra_low_temperature_freezer,2,-60,-52,-56.0,91.5,840,0,2,0,8,-19.0,-51.333333333333336,18.0092568789868,-0.6666666666666643,air_transit_ultra_low_temperature_freezer,-69.0,17.0,17.0,True,False,False,False,False,True,False,-1,0.03019421424434998,True
batch013,2020-11-02 11:00:00,Not Available,air_transit,ultra_low_temperature_freezer,2,-48,-44,-46.0,92.5,840,0,3,0,4,8.0,-43.0,9.53939201416946,-1.0,air_transit_ultra_low_temperature_freezer,-69.0,25.0,25.0,True,False,False,False,False,True,False,-1,0.024703398766687923,True
batch013,2020-11-02 14:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-23,-22,-22.5,93.0,837,0,6,0,1,10.0,-30.666666666666668,8.082903768654765,8.666666666666668,dest_air_cargo_vaccine_storage_unit,7.0,-29.0,29.0,False,True,False,False,False,False,True,-1,0.00847402759067506,True
batch013,2020-11-02 15:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-12,-11,-11.5,93.5,836,0,7,0,1,11.0,-21.666666666666668,10.50396750439249,10.666666666666668,dest_air_cargo_vaccine_storage_unit,7.0,-18.0,18.0,False,True,False,False,False,False,True,-1,0.016789354848624094,True
batch013,2020-11-02 16:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,2,4,3.0,92.5,835,0,7,1,2,15.0,-9.666666666666666,13.051181300301266,13.666666666666666,dest_air_cargo_vaccine_storage_unit,7.0,-3.0,3.0,False,True,False,False,False,False,True,-1,0.021622874829770766,True
batch016,2021-02-02 14:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-60,-52,-56.0,92.5,839,1,1,0,8,16.0,-61.666666666666664,8.504900548115382,9.666666666666664,dest_air_cargo_vaccine_storage_unit,7.0,-59.0,59.0,False,True,False,False,False,False,True,-1,0.039775136555539214,True
batch016,2021-02-02 15:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-47,-41,-44.0,93.5,838,1,2,0,6,11.0,-53.666666666666664,13.576941236277532,12.666666666666664,dest_air_cargo_vaccine_storage_unit,7.0,-48.0,48.0,False,True,False,False,False,False,True,-1,0.037747852363537726,True
batch016,2021-02-02 16:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-39,-36,-37.5,92.0,837,1,3,0,3,5.0,-43.0,8.185352771872445,7.0,dest_air_cargo_vaccine_storage_unit,7.0,-43.0,43.0,False,True,False,False,False,False,True,-1,0.0007063181336350866,True
batch016,2021-02-02 17:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-35,-26,-30.5,92.5,836,1,4,0,9,10.0,-34.333333333333336,7.63762615825973,8.333333333333336,dest_air_cargo_vaccine_storage_unit,7.0,-33.0,33.0,False,True,False,False,False,False,True,-1,0.027090678136464708,True
batch016,2021-02-02 18:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-24,-22,-23.0,93.0,835,1,5,0,2,4.0,-28.0,7.211102550927978,6.0,dest_air_cargo_vaccine_storage_unit,7.0,-29.0,29.0,False,True,False,False,False,False,True,-1,0.005561966740938784,True
batch016,2021-02-02 19:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-11,-5,-8.0,92.5,834,1,6,0,6,17.0,-17.666666666666668,11.150485789118493,12.666666666666668,dest_air_cargo_vaccine_storage_unit,7.0,-12.0,12.0,False,True,False,False,False,False,True,-1,0.04374038478178088,True
batch016,2021-02-02 20:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,3,3,3.0,92.5,833,1,6,1,0,8.0,-8.0,12.767145334803715,11.0,dest_air_cargo_vaccine_storage_unit,7.0,-4.0,4.0,False,True,False,False,False,False,True,-1,0.024777175446428545,True
batch026,2021-08-02 15:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-45,-42,-43.5,91.0,838,1,1,0,3,18.0,-56.0,12.489995996796802,14.0,dest_air_cargo_vaccine_storage_unit,7.0,-49.0,49.0,False,True,False,False,False,False,True,-1,0.03867025740748997,True
batch026,2021-08-02 16:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-40,-36,-38.0,91.0,837,1,2,0,4,6.0,-46.0,12.489995996796813,10.0,dest_air_cargo_vaccine_storage_unit,7.0,-43.0,43.0,False,True,False,False,False,False,True,-1,0.020706461582184588,True
batch026,2021-08-02 17:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-30,-29,-29.5,91.5,836,1,3,0,1,7.0,-35.666666666666664,6.506407098647764,6.666666666666664,dest_air_cargo_vaccine_storage_unit,7.0,-36.0,36.0,False,True,False,False,False,False,True,-1,0.00563382214499375,True
batch026,2021-08-02 18:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-19,-19,-19.0,92.0,835,1,4,0,0,10.0,-28.0,8.544003745317584,9.0,dest_air_cargo_vaccine_storage_unit,7.0,-26.0,26.0,False,True,False,False,False,False,True,-1,0.017773931466192217,True
batch026,2021-08-02 19:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,-12,-4,-8.0,93.0,834,1,5,0,8,15.0,-17.333333333333332,12.583057392117965,13.333333333333332,dest_air_cargo_vaccine_storage_unit,7.0,-11.0,11.0,False,True,False,False,False,False,True,-1,0.045272509196577326,True
batch026,2021-08-02 20:00:00,Delhi Airport,dest_air_cargo,vaccine_storage_unit,2,2,3,2.5,91.5,833,1,5,1,1,7.0,-6.666666666666667,11.239810200058312,9.666666666666668,dest_air_cargo_vaccine_storage_unit,7.0,-4.0,4.0,False,True,False,False,False,False,True,-1,0.010726568097126354,True
batch029,2021-08-02 09:00:00,Not Available,air_transit,ultra_low_temperature_freezer,2,-34,-33,-33.5,94.0,840,0,1,0,1,35.0,-56.0,19.924858845171276,23.0,air_transit_ultra_low_temperature_freezer,-69.0,36.0,36.0,True,False,False,False,False,True,False,-1,0.052628640171730856,True
